nom,date,provincial_infection_prevention_controle_en,ner_json
South-Kivu,24-06-2026,"Closure of simulation workshop on PPE donning/doffing, SDB, and coaching on Kobocollect tool for scorecard assessments (45 IPC pillar members at RIO).","[{""type"": ""ORG"", ""value"": ""PPE"", ""score"": 0.9026}, {""type"": ""MISC"", ""value"": ""Ko"", ""score"": 0.4442}, {""type"": ""ORG"", ""value"": ""##boco"", ""score"": 0.5936}, {""type"": ""ORG"", ""value"": ""##ct"", ""score"": 0.6761}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9287}, {""type"": ""ORG"", ""value"": ""RIO"", ""score"": 0.7153}]"
Ituri,25-06-2026,"38/45 SDBs performed (7 postponed). 17 community swabs performed. 5 scorecard assessments in health facilities. 13 health facilities accompanied. Decontamination of 3 health facilities, 20 households around confirmed cases, and 38 vehicles. 191 PPL trained and 55 community relays/community leaders briefed on standard precautions.","[{""type"": ""ORG"", ""value"": ""PP"", ""score"": 0.549}]"
North-Kivu,25-06-2026,"IPC kits M1 and M2 delivered to 18 priority health facilities (10 Nyiragongo, 8 Karisimbi). IPC supplies (PPE, chlorine, detergent, buckets, boots, gloves, aprons) delivered to community IPC teams in Karisimbi and Nyiragongo. Preparation of joint WHO-DPS-INRB multidisciplinary mission (SURVEPI-LABO-PCI-PECH-RCCE) to Kayna, Alimbongo, Rutshuru and Rwanguba to strengthen zonal coordination. Accompaniment of priority health facilities in hotspot zones with briefing of 106 providers on IPC topics.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9947}, {""type"": ""LOC"", ""value"": ""N"", ""score"": 0.9571}, {""type"": ""LOC"", ""value"": ""##ragong"", ""score"": 0.7236}, {""type"": ""LOC"", ""value"": ""Karisim"", ""score"": 0.8069}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9822}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9881}, {""type"": ""LOC"", ""value"": ""Karisimbi"", ""score"": 0.9543}, {""type"": ""LOC"", ""value"": ""Nyiragongo"", ""score"": 0.9769}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9908}, {""type"": ""ORG"", ""value"": ""DPS"", ""score"": 0.9387}, {""type"": ""ORG"", ""value"": ""INRB"", ""score"": 0.9722}, {""type"": ""LOC"", ""value"": ""Kayna"", ""score"": 0.9832}, {""type"": ""LOC"", ""value"": ""Alimbongo"", ""score"": 0.9325}, {""type"": ""LOC"", ""value"": ""Rutshuru"", ""score"": 0.86}, {""type"": ""LOC"", ""value"": ""Rwanguba"", ""score"": 0.978}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9914}]"
South-Kivu,25-06-2026,"Distribution of IPC supplies and PPE to 4 health facilities in Katana HZ (WHO support). Briefings of 8 IPC supervisors (2 DPS, 3 Miti-Murhesa HZ, 3 Katana HZ). Decontamination of 4 households of suspected cases (3 Katana HZ, 1 Miti-Murhesa HZ). Biocleaning of 10 schools designated as exam centers.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9934}, {""type"": ""LOC"", ""value"": ""Katana"", ""score"": 0.9882}, {""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9978}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.99}, {""type"": ""ORG"", ""value"": ""D"", ""score"": 0.9446}, {""type"": ""ORG"", ""value"": ""Mi"", ""score"": 0.8987}, {""type"": ""ORG"", ""value"": ""##ti"", ""score"": 0.3599}, {""type"": ""ORG"", ""value"": ""Mur"", ""score"": 0.6585}, {""type"": ""LOC"", ""value"": ""##hes"", ""score"": 0.5173}, {""type"": ""ORG"", ""value"": ""##a"", ""score"": 0.6976}, {""type"": ""ORG"", ""value"": ""Katana"", ""score"": 0.9757}, {""type"": ""ORG"", ""value"": ""Katana"", ""score"": 0.9367}, {""type"": ""ORG"", ""value"": ""Mi"", ""score"": 0.6024}, {""type"": ""LOC"", ""value"": ""##ti"", ""score"": 0.6181}, {""type"": ""ORG"", ""value"": ""Mu"", ""score"": 0.4575}, {""type"": ""LOC"", ""value"": ""##hesa"", ""score"": 0.7001}]"
Ituri,27-06-2026,"18 households identified around cases in Bunia, Mongbwalu, Nyankunde, Komanda; 13 decontaminated. 4 health facilities identified and decontaminated. 29/29 SDBs performed with 14 postponed catches completed. 18 community swabs performed in Bunia, Mongbwalu, Nyankunde, Komanda. IPC/WASH assessments: CS Hoho (17.7%), PS Seule la fois sauve (35.4%), PS Benedicte (24.2%), CM Lobiko (62.9%). 13 health facilities accompanied, 29 vehicles decontaminated. Briefing of 258 PPL and 73 community relays/leaders. 37 providers briefed during formative supervision on EVD generalities and standard precautions. Monitoring of community engagement activities by women leaders in Bunia and Rwampara. 33 social mobilization activities (community dialogues and mass sensitizations) reaching 4,518 people (1,676M, 2,842F) on EVD prevention, community-based surveillance, case management, decontamination and SDB in Mongbwalu and Nyankunde. 4 educational talks reaching 3,376 people. Preparatory integrated EVD meeting with 45 motorcycle-taxi park chiefs in Bunia and Rwampara. 3 meetings with 36 participants (16M,20F) in Aru and Nyankunde for community engagement. Community feedback includes: EDS team attacks and food monotony in ETCs. Several exchanges organized to clarify rumors and strengthen community adherence","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9749}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9367}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9544}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.8565}, {""type"": ""LOC"", ""value"": ""Komanda"", ""score"": 0.7963}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9779}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.882}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9571}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9548}, {""type"": ""LOC"", ""value"": ""Komanda"", ""score"": 0.9514}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9917}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.9232}, {""type"": ""ORG"", ""value"": ""CS Hoho"", ""score"": 0.9915}, {""type"": ""ORG"", ""value"": ""PS Seule la fois sauve"", ""score"": 0.9917}, {""type"": ""ORG"", ""value"": ""PS Benedicte"", ""score"": 0.9723}, {""type"": ""ORG"", ""value"": ""CM Lobiko"", ""score"": 0.9393}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.9419}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9655}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9409}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.898}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.7755}, {""type"": ""ORG"", ""value"": ""SD"", ""score"": 0.736}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9732}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9497}, {""type"": ""ORG"", ""value"": ""EVD"", ""score"": 0.8197}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9892}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.958}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9733}, {""type"": ""LOC"", ""value"": ""A"", ""score"": 0.9834}, {""type"": ""LOC"", ""value"": ""##ru"", ""score"": 0.5673}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9484}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9802}, {""type"": ""ORG"", ""value"": ""ET"", ""score"": 0.9841}]"
North-Kivu,27-06-2026,"Community dialogue with 38 community leaders on community-based surveillance (Vuhika AS). Briefing of ITs on integration of community-based surveillance and strengthening of IPC measures. Briefing of 22 nurses and laboratory staff at HGR Kyondo on risk communication and EVD prevention in hospital settings. Capacity building of 16 health committee members on community-based surveillance and EVD prevention in Butembo HZ. 34 motorcycle taxi drivers reached with mass communication on EVD risk during patient transport (Tuungane AS, Beni). Launch of training for 36 providers: 12 EDS team members (Kyondo HZ), 12 (Butembo HZ), 12 (Musienene HZ) in Butembo. Briefing of ECPs and IPC supervisors on data collection tools.","[{""type"": ""ORG"", ""value"": ""V"", ""score"": 0.9567}, {""type"": ""ORG"", ""value"": ""##ika AS"", ""score"": 0.702}, {""type"": ""ORG"", ""value"": ""IT"", ""score"": 0.9042}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9934}, {""type"": ""ORG"", ""value"": ""HGR Kyondo"", ""score"": 0.9566}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9058}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.8963}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9106}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.656}, {""type"": ""MISC"", ""value"": ""E"", ""score"": 0.9504}, {""type"": ""ORG"", ""value"": ""Tuungane AS"", ""score"": 0.9065}, {""type"": ""ORG"", ""value"": ""Ben"", ""score"": 0.6997}, {""type"": ""LOC"", ""value"": ""##i"", ""score"": 0.76}, {""type"": ""ORG"", ""value"": ""EDS"", ""score"": 0.9647}, {""type"": ""ORG"", ""value"": ""Kyondo H"", ""score"": 0.7801}, {""type"": ""ORG"", ""value"": ""Butembo H"", ""score"": 0.8257}, {""type"": ""ORG"", ""value"": ""Mu"", ""score"": 0.932}, {""type"": ""ORG"", ""value"": ""##nen"", ""score"": 0.6585}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9863}, {""type"": ""ORG"", ""value"": ""EC"", ""score"": 0.9944}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9801}]"
Ituri,29-06-2026,"6/17 households identified and decontaminated around confirmed cases. 8 health facilities identified and decontaminated in Bunia, Rwampara, Mongbwalu, Komanda. 9 decontaminations of public places (Sokimo office, DGPI, COUSP). 26/29 SDBs performed (2 postponed). IPC/WASH assessments of 6 health facilities: PS Katoto, PS Ushindi (38.7%), PS Maranatha (45.2%), CS Komanda (76%), PS Santé d'abord (34%), Dispensaire Afia Bora (30.6%), CH Unibu (71%). Decontamination of 25 vehicles (ambulances, hearses) and briefing of 33 providers on EVD. 93 PPL trained on standard IPC precautions in Bunia (50), Nizi (18), Mambasa (25). Provision of 3 household kits in Mongbwalu and Nia-Nia.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9766}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9225}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8686}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9473}, {""type"": ""LOC"", ""value"": ""Komanda"", ""score"": 0.8663}, {""type"": ""ORG"", ""value"": ""Sokim"", ""score"": 0.673}, {""type"": ""ORG"", ""value"": ""D"", ""score"": 0.9943}, {""type"": ""ORG"", ""value"": ""##GPI"", ""score"": 0.7026}, {""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.5775}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.996}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.9678}, {""type"": ""ORG"", ""value"": ""PS Katoto"", ""score"": 0.9935}, {""type"": ""ORG"", ""value"": ""PS Ushindi"", ""score"": 0.9927}, {""type"": ""ORG"", ""value"": ""PS Maranatha"", ""score"": 0.9808}, {""type"": ""ORG"", ""value"": ""CS Komanda"", ""score"": 0.7604}, {""type"": ""ORG"", ""value"": ""PS Sant\u00e9 d ' abord"", ""score"": 0.9839}, {""type"": ""ORG"", ""value"": ""Dispensaire Afia Bora"", ""score"": 0.8692}, {""type"": ""ORG"", ""value"": ""CH Unibu"", ""score"": 0.9501}, {""type"": ""ORG"", ""value"": ""E"", ""score"": 0.4725}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9949}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.8581}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.8218}, {""type"": ""ORG"", ""value"": ""Ni"", ""score"": 0.356}, {""type"": ""ORG"", ""value"": ""Mambasa"", ""score"": 0.466}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9618}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8567}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8022}]"
North-Kivu,29-06-2026,18 SDBs performed on 32 death alerts (56.2% coverage). Average intervention time of 4 hours (standard compliant). 31 swabs performed.,"[{""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.657}]"
Ituri,30-06-2026,"29/27 households identified and decontaminated around confirmed cases. 3 health facilities identified and decontaminated in Bunia, Rwampara, Mongbwalu, Komanda. 9 decontaminations of public places (Sokimo, DGPI, COUSP). 26/29 SDBs performed (2 postponed). IPC/WASH assessments of 9 health facilities. Decontamination of 55 vehicles and briefing of 33 providers.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9863}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.935}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9102}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9543}, {""type"": ""LOC"", ""value"": ""Komanda"", ""score"": 0.9348}, {""type"": ""PER"", ""value"": ""So"", ""score"": 0.5143}, {""type"": ""ORG"", ""value"": ""##kim"", ""score"": 0.3167}, {""type"": ""ORG"", ""value"": ""D"", ""score"": 0.9904}, {""type"": ""ORG"", ""value"": ""##GPI"", ""score"": 0.6873}, {""type"": ""ORG"", ""value"": ""CO"", ""score"": 0.5958}, {""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.6031}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9936}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.9231}]"
North-Kivu,30-06-2026,"Provision of 5 vehicles by WHO for teams in Katwa, Butembo, Musienene and Kyondo HZs for IPC activities.","[{""type"": ""ORG"", ""value"": ""WHO"", ""score"": 0.9987}, {""type"": ""LOC"", ""value"": ""Katwa"", ""score"": 0.9912}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9782}, {""type"": ""LOC"", ""value"": ""Mu"", ""score"": 0.9571}, {""type"": ""LOC"", ""value"": ""##sienene"", ""score"": 0.7633}, {""type"": ""LOC"", ""value"": ""Kyondo"", ""score"": 0.9713}, {""type"": ""ORG"", ""value"": ""H"", ""score"": 0.508}, {""type"": ""LOC"", ""value"": ""##Z"", ""score"": 0.7211}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9681}]"
Ituri,02-07-2026,"21/27 households identified and decontaminated around confirmed cases. Decontamination of 55 vehicles and briefing of 33 providers. 3 health facilities identified and decontaminated in Bunia, Rwampara, Mongbwalu, Komanda. 9 decontaminations of public places. 26/29 SDBs performed (2 postponed). IPC/WASH assessments of 9 health facilities. Accompaniment of 29 health facilities. Briefing of 52 community relays and leaders among prisoners. Provision of hygiene kits to confirmed case households in Mongbwalu.","[{""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9843}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9493}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9168}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9673}, {""type"": ""LOC"", ""value"": ""Komanda"", ""score"": 0.917}, {""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.7416}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.996}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.9415}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9715}]"
Ituri,03-07-2026,"77 SDB alerts notified, 54 performed (23 postponed) in Bunia, Mongbwalu, Nyankunde, Rwampara, Nizi, Komanda, Bambu. 15/15 households identified and decontaminated around confirmed cases. Decontamination of 10 vehicles and briefing of 35 providers. 3 health facilities identified and decontaminated in Bunia, Rwampara, Mongbwalu, Komanda. 4 decontaminations of public places. IPC/WASH assessments of 8 health facilities. Accompaniment of 29 health facilities. Briefing of 80 community relays and leaders in Bunia (65) and Nia-Nia (15). IPC kits distributed to CS Kutumba and CSR Kalivuli with briefing of 2 hygienists.","[{""type"": ""ORG"", ""value"": ""SDB"", ""score"": 0.7442}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9912}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9319}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9748}, {""type"": ""LOC"", ""value"": ""Nyankunde"", ""score"": 0.9253}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.8568}, {""type"": ""LOC"", ""value"": ""Nizi"", ""score"": 0.9506}, {""type"": ""LOC"", ""value"": ""Ko"", ""score"": 0.9829}, {""type"": ""LOC"", ""value"": ""##manda"", ""score"": 0.9089}, {""type"": ""LOC"", ""value"": ""Bambu"", ""score"": 0.9439}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.986}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9596}, {""type"": ""LOC"", ""value"": ""Rwampara"", ""score"": 0.9477}, {""type"": ""LOC"", ""value"": ""Mongbwalu"", ""score"": 0.9758}, {""type"": ""LOC"", ""value"": ""Komanda"", ""score"": 0.953}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9746}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.8733}, {""type"": ""LOC"", ""value"": ""B"", ""score"": 0.9786}, {""type"": ""LOC"", ""value"": ""##unia"", ""score"": 0.9655}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.8883}, {""type"": ""LOC"", ""value"": ""Nia"", ""score"": 0.7431}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9046}, {""type"": ""ORG"", ""value"": ""CS Kutumba"", ""score"": 0.9874}, {""type"": ""ORG"", ""value"": ""CSR Kalivuli"", ""score"": 0.9261}]"
North-Kivu,03-07-2026,"Scorecard assessment of 8 health facilities in Beni (average score 28.1%). Scores: Dispensaire de l'Espoir (53%), CM La Joie (34.8%), Dispensaire Imani Bora (32.5%), CM Kithimba (25.8%), Dispensaire Katoka (20%), CM Mbanasuvya (20%), Dispensaire Tuha (20%), CM Mbanivuka (19%). Decontamination of 3 health facilities after suspected cases. Briefing of 183 providers on IPC topics.","[{""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9958}, {""type"": ""ORG"", ""value"": ""Dispensaire de l ' Espoir"", ""score"": 0.9817}, {""type"": ""ORG"", ""value"": ""CM La Joie"", ""score"": 0.9467}, {""type"": ""ORG"", ""value"": ""Dispensaire Imani"", ""score"": 0.8237}, {""type"": ""PER"", ""value"": ""Bo"", ""score"": 0.6538}, {""type"": ""ORG"", ""value"": ""##ra"", ""score"": 0.6085}, {""type"": ""ORG"", ""value"": ""CM Kithimba"", ""score"": 0.9031}, {""type"": ""ORG"", ""value"": ""Dispensaire Katoka"", ""score"": 0.8669}, {""type"": ""ORG"", ""value"": ""CM Mbanasuvya"", ""score"": 0.8687}, {""type"": ""ORG"", ""value"": ""Dispens"", ""score"": 0.9386}, {""type"": ""ORG"", ""value"": ""Tuha"", ""score"": 0.8625}, {""type"": ""ORG"", ""value"": ""CM Mbanivuka"", ""score"": 0.7692}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.914}]"
North-Kivu,04-07-2026,"30 SDBs performed on 29 death alerts; 28 bodies swabbed and secured, 1 body not swabbed, 6 bodies postponed. Briefing of Beni SDB teams started. Incident: IPC team attacked and vehicle stoned during decontamination of CMC Kiharo (Rughenda health area).","[{""type"": ""ORG"", ""value"": ""SD"", ""score"": 0.7059}, {""type"": ""ORG"", ""value"": ""Beni SDB"", ""score"": 0.8532}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9943}, {""type"": ""ORG"", ""value"": ""CMC Ki"", ""score"": 0.8151}, {""type"": ""LOC"", ""value"": ""##haro"", ""score"": 0.7554}, {""type"": ""LOC"", ""value"": ""R"", ""score"": 0.9921}, {""type"": ""LOC"", ""value"": ""##ughenda"", ""score"": 0.8447}]"
Ituri,07-07-2026,"21 households identified and decontaminated around cases. 1 health facility identified and decontaminated. 29 deaths recorded for SDB activities, 22 SDBs performed (76% coverage), 18 post-mortem samples taken.","[{""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.7527}, {""type"": ""MISC"", ""value"": ""SD"", ""score"": 0.8277}]"
North-Kivu,07-07-2026,"Scorecard assessments of 10 health facilities in Beni (5), Mutwanga (2), Oicha (3) – average score 26.1%, max 37.1%, none reached 50%. 57 health facilities followed and accompanied in Beni (20), Kyondo (1), Oicha (20), Butembo (12), Musienene (4). IPC kits delivered to 8 health facilities in Beni (IMC). 155 providers briefed (18 Musienene, 4 Kyondo, 57 Butembo, 76 Oicha). Launch of IPC/WASH briefing for 19 community and religious leaders in Butembo HZ on barrier measures.","[{""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9952}, {""type"": ""LOC"", ""value"": ""Mu"", ""score"": 0.74}, {""type"": ""LOC"", ""value"": ""##wanga"", ""score"": 0.9339}, {""type"": ""LOC"", ""value"": ""Oicha"", ""score"": 0.956}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9717}, {""type"": ""ORG"", ""value"": ""K"", ""score"": 0.3563}, {""type"": ""LOC"", ""value"": ""##yondo"", ""score"": 0.7261}, {""type"": ""PER"", ""value"": ""O"", ""score"": 0.6}, {""type"": ""LOC"", ""value"": ""##icha"", ""score"": 0.7502}, {""type"": ""ORG"", ""value"": ""But"", ""score"": 0.8368}, {""type"": ""LOC"", ""value"": ""##em"", ""score"": 0.7339}, {""type"": ""ORG"", ""value"": ""##bo"", ""score"": 0.7838}, {""type"": ""PER"", ""value"": ""Mu"", ""score"": 0.7653}, {""type"": ""ORG"", ""value"": ""##nen"", ""score"": 0.4881}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9859}, {""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9954}, {""type"": ""ORG"", ""value"": ""IMC"", ""score"": 0.9788}, {""type"": ""PER"", ""value"": ""Mu"", ""score"": 0.4935}, {""type"": ""PER"", ""value"": ""K"", ""score"": 0.3499}, {""type"": ""LOC"", ""value"": ""##yon"", ""score"": 0.4249}, {""type"": ""ORG"", ""value"": ""But"", ""score"": 0.8856}, {""type"": ""LOC"", ""value"": ""##em"", ""score"": 0.5569}, {""type"": ""ORG"", ""value"": ""O"", ""score"": 0.5526}, {""type"": ""LOC"", ""value"": ""##ich"", ""score"": 0.8904}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9668}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.8888}, {""type"": ""LOC"", ""value"": ""Butembo HZ"", ""score"": 0.9677}]"
Ituri,09-07-2026,"44 confirmed cases underwent ring activities. 9 households identified, 6 decontaminated (66.7%). 3 health facilities identified, 2 decontaminated. 12 IPC/WASH assessments, 9 kit/input distributions, 18 health facility follow-ups/accompaniments, 1 health facility decontamination, 7 vehicle decontaminations. 12 PPL, 26 SDB team members and 120 providers trained/briefed.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.8819}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.8257}, {""type"": ""ORG"", ""value"": ""SD"", ""score"": 0.8239}]"
North-Kivu,09-07-2026,"Scorecard assessments of 7 health facilities (Beni 3, Kibua 1, Musienene 2, Oicha 1) – average score 35%. 22 providers briefed on IPC, RCCE and community surveillance. 15 providers from CH La Vérité trained on IPC/WASH. 337 providers and 16 PPL briefed during supervisory visits. 3 health facilities, 17 lodging sites in Butembo and 16 households decontaminated. 29 death alerts, 27 bodies swabbed/secured, 2 sampling failures recorded.","[{""type"": ""LOC"", ""value"": ""Beni"", ""score"": 0.9874}, {""type"": ""LOC"", ""value"": ""Kibua"", ""score"": 0.9335}, {""type"": ""LOC"", ""value"": ""Musienene"", ""score"": 0.6998}, {""type"": ""LOC"", ""value"": ""Oicha"", ""score"": 0.9288}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9919}, {""type"": ""ORG"", ""value"": ""RCCE"", ""score"": 0.9973}, {""type"": ""ORG"", ""value"": ""CH La V\u00e9rit\u00e9"", ""score"": 0.9924}, {""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9746}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.7604}, {""type"": ""ORG"", ""value"": ""PP"", ""score"": 0.8734}, {""type"": ""LOC"", ""value"": ""Butembo"", ""score"": 0.9793}]"
Ituri,10-07-2026,"30 confirmed cases underwent ring activities. 31 households identified, 29 decontaminated (93.5%). 8 health facilities identified, 7 decontaminated. 20 IPC/WASH assessments, 65 kit/input distributions, 31 health facility follow-ups/accompaniments, 3 health facility decontaminations, 24 vehicle decontaminations. 18 PPL trained and 86 providers briefed.","[{""type"": ""ORG"", ""value"": ""IPC"", ""score"": 0.9019}, {""type"": ""ORG"", ""value"": ""WASH"", ""score"": 0.8625}, {""type"": ""ORG"", ""value"": ""PP"", ""score"": 0.554}]"
